Year,Series,Units,Geography,Value
2001/11,Population Growth Rate,Percentage (%),"Hamilton, Ontario",0.009
2001/11,Population Growth Rate,Percentage (%),"Kelowna, British Columbia",0.02
2001/11,Population Growth Rate,Percentage (%),"Kingston, Ontario",0.01
2001/11,Population Growth Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",0.014
2001/11,Population Growth Rate,Percentage (%),"London, Ontario",0.009
2001/11,Population Growth Rate,Percentage (%),"Moncton, New Brunswick",0.016
2001/11,Population Growth Rate,Percentage (%),"Montreal, Quebec",0.012
2001/11,Population Growth Rate,Percentage (%),"Oshawa, Ontario",0.019
2001/11,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",0.013
2001/11,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",0.017
2001/11,Population Growth Rate,Percentage (%),"Peterborough, Ontario",0.007
2001/11,Population Growth Rate,Percentage (%),"Quebec, Quebec",0.012
2001/11,Population Growth Rate,Percentage (%),"Regina, Saskatchewan",0.009
2001/11,Population Growth Rate,Percentage (%),"Saguenay, Quebec",-0.001
2001/11,Population Growth Rate,Percentage (%),"Saint John, New Brunswick",0.005
2001/11,Population Growth Rate,Percentage (%),"Saskatoon, Saskatchewan",0.014
2001/11,Population Growth Rate,Percentage (%),"Sherbrooke, Quebec",0.012
2001/11,Population Growth Rate,Percentage (%),"St. Catharines - Niagara, Ontario",0.005
2001/11,Population Growth Rate,Percentage (%),"St. John's, Newfoundland and Labrador",0.013
2001/11,Population Growth Rate,Percentage (%),"Thunder Bay, Ontario",0.001
2001/11,Population Growth Rate,Percentage (%),"Toronto, Ontario",0.018
2001/11,Population Growth Rate,Percentage (%),"Trois-Rivières, Quebec",0.011
2001/11,Population Growth Rate,Percentage (%),"Vancouver, British Columbia",0.016
2001/11,Population Growth Rate,Percentage (%),"Victoria, British Columbia",0.015
2001/11,Population Growth Rate,Percentage (%),"Windsor, Ontario",0.006
2001/11,Population Growth Rate,Percentage (%),"Winnipeg, Manitoba",0.008
