Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,,14.68
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,,26.78
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,,31.42
2015,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,,19.16
2015,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,,13.54
2015,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,,20.32
2015,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,,20.23
2015,Canada,Full-time employees,"Sales and service occupations, except management",Males,15 years and over,,21.18
2015,Canada,Full-time employees,"Sales and service occupations, except management",Males,15 to 24 years,,13.83
2015,Canada,Full-time employees,"Sales and service occupations, except management",Males,25 to 54 years,,22.63
2015,Canada,Full-time employees,"Sales and service occupations, except management",Males,55 years and over,,22.62
2015,Canada,Full-time employees,"Sales and service occupations, except management",Females,15 years and over,,17.35
2015,Canada,Full-time employees,"Sales and service occupations, except management",Females,15 to 24 years,,13.29
2015,Canada,Full-time employees,"Sales and service occupations, except management",Females,25 to 54 years,,18.26
2015,Canada,Full-time employees,"Sales and service occupations, except management",Females,55 years and over,,17.9
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,,25.84
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,,19.29
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,,26.97
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,,26.02
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,,26.2
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,,19.42
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,,27.35
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,,26.54
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,,20.74
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,,16.89
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,,21.75
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,,18.86
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,,25.05
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,,17.11
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,,28.34
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,,24.07
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,,26.55
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,,17.94
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,,29.68
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,,26.16
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,,16.87
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,,13.66
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,,19.35
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,,15.22
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,,22.0
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,,16.95
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,,22.54
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,,22.6
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,,23.62
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,,17.28
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,,24.18
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,,25.03
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,,17.53
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,,15.6
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,,18.0
2015,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,,16.77
2015,Canada,Part-time employees,"Total employees, all occupations",Both sexes,15 years and over,,18.11
2015,Canada,Part-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,,12.82
2015,Canada,Part-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,,21.81
2015,Canada,Part-time employees,"Total employees, all occupations",Both sexes,55 years and over,,22.31
2015,Canada,Part-time employees,"Total employees, all occupations",Males,15 years and over,,17.12
2015,Canada,Part-time employees,"Total employees, all occupations",Males,15 to 24 years,,12.73
2015,Canada,Part-time employees,"Total employees, all occupations",Males,25 to 54 years,,21.75
2015,Canada,Part-time employees,"Total employees, all occupations",Males,55 years and over,,23.33
2015,Canada,Part-time employees,"Total employees, all occupations",Females,15 years and over,,18.59
2015,Canada,Part-time employees,"Total employees, all occupations",Females,15 to 24 years,,12.89
2015,Canada,Part-time employees,"Total employees, all occupations",Females,25 to 54 years,,21.82
2015,Canada,Part-time employees,"Total employees, all occupations",Females,55 years and over,,21.84
2015,Canada,Part-time employees,Management occupations,Both sexes,15 years and over,,30.41
2015,Canada,Part-time employees,Management occupations,Both sexes,15 to 24 years,,13.02
2015,Canada,Part-time employees,Management occupations,Both sexes,25 to 54 years,,26.7
2015,Canada,Part-time employees,Management occupations,Both sexes,55 years and over,,38.32
2015,Canada,Part-time employees,Management occupations,Males,15 years and over,,32.27
2015,Canada,Part-time employees,Management occupations,Males,15 to 24 years,,
2015,Canada,Part-time employees,Management occupations,Males,25 to 54 years,,28.6
2015,Canada,Part-time employees,Management occupations,Males,55 years and over,,37.15
2015,Canada,Part-time employees,Management occupations,Females,15 years and over,,29.29
2015,Canada,Part-time employees,Management occupations,Females,15 to 24 years,,
2015,Canada,Part-time employees,Management occupations,Females,25 to 54 years,,26.12
2015,Canada,Part-time employees,Management occupations,Females,55 years and over,,39.67
2015,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,,21.14
2015,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,,14.9
