Year,Series,Units,Géographie,Value
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Québec, Québec",1495.08
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Regina, Saskatchewan",777.76
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saguenay, Québec",1823.94
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saint John, Nouveau-Brunswick",1455.36
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saskatoon, Saskatchewan",714.05
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Sherbrooke, Québec",613.62
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. Catharines - Niagara, Ontario",2858.01
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. John's, Terre-Neuve-et-Labrador",478.42
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Thunder Bay, Ontario",2061.08
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Toronto, Ontario",4666.47
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Trois-Rivières, Québec",789.66
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Vancouver, Colombie-Britannique",2088.08
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Victoria, Colombie-Britannique",531.8
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Windsor, Ontario",8170.59
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Winnipeg, Manitoba",3119.87
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,,111404.49
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Abbotsford - Mission, Colombie-Britannique",499.99
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Barrie, Ontario",344.0
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Brantford, Ontario",2201.9
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Calgary, Alberta",2727.37
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Edmonton, Alberta",9522.56
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Grand Sudbury, Ontario",-5690.17
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Guelph, Ontario",586.86
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Halifax, Nouvelle-Écosse",5883.11
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Hamilton, Ontario",4104.4
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kelowna, Colombie-Britannique",589.72
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kingston, Ontario",3027.62
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kitchener - Cambridge - Waterloo, Ontario",1756.27
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"London, Ontario",4887.28
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Moncton, Nouveau-Brunswick",1853.83
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Montreal, Quebec",26475.85
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Oshawa, Ontario",1067.3
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie de l'Ontario), Ontario",4379.05
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie du Québec), Québec",1952.1
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Peterborough, Ontario",3648.9
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Québec, Québec",9494.09
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Regina, Saskatchewan",37780.07
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saguenay, Québec",-4905.77
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saint John, Nouveau-Brunswick",-7316.78
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saskatoon, Saskatchewan",4414.12
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Sherbrooke, Québec",2040.76
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. Catharines - Niagara, Ontario",11984.52
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. John's, Terre-Neuve-et-Labrador",14183.5
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Thunder Bay, Ontario",-7396.24
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Toronto, Ontario",11478.95
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Trois-Rivières, Québec",-22029.57
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Vancouver, Colombie-Britannique",4348.53
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Victoria, Colombie-Britannique",4204.08
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Windsor, Ontario",1981.56
1991/01,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Winnipeg, Manitoba",29506.24
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,,100656.0
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Abbotsford - Mission, Colombie-Britannique",948.91
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Barrie, Ontario",668.53
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Brantford, Ontario",1117.25
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Calgary, Alberta",2860.39
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Edmonton, Alberta",5142.03
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Grand Sudbury, Ontario",8201.66
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Guelph, Ontario",822.32
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Halifax, Nouvelle-Écosse",4050.12
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Hamilton, Ontario",4657.02
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kelowna, Colombie-Britannique",933.73
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kingston, Ontario",2032.27
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kitchener - Cambridge - Waterloo, Ontario",1983.47
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"London, Ontario",4725.84
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Moncton, Nouveau-Brunswick",1166.34
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Montreal, Quebec",13317.18
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Oshawa, Ontario",1243.84
