Year,Series,Géographie,GeoCode,Value
2019,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2019,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.83
2019,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,85.35
2019,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,99.88
2019,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2019,Wastewater discharged from municipal sewage systems,Québec,24,99.68
2019,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Saskatchewan,47,99.94
2019,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.91
2019,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.1
2019,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2019,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Alberta,48,100.0
2020,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.93
2020,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,97.79
2020,Wastewater discharged from municipal sewage systems,,,99.12
2020,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Manitoba,46,99.93
2020,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,95.85
2020,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2020,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,81.15
2020,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,81.2
2020,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.22
2020,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.12
2020,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,99.16
2020,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,94.28
2020,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2020,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.84
2020,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,88.09
2020,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2020,Wastewater discharged from municipal sewage systems,Québec,24,99.68
2020,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Saskatchewan,47,99.94
2020,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.91
2020,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.12
2020,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2020,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2020,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
