Year,Géographie,Niveau de gouvernement,Type de patrimoine,Value
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00029
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00016
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00067
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00048
2018,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,5e-05
2018,Canada,Administration publique générale canadienne consolidée,Services culturels,0.00017
2018,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",0.00011
2018,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00011
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4e-05
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6e-05
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
