Year,Géographie,Industrie,GeoCode,Value
2015,Île-du-Prince-Édouard,Fabrication de produits pharmaceutiques et de médicaments,11,
2015,Île-du-Prince-Édouard,"Fabrication de peintures, de revêtements et d'adhésifs",11,
2015,Île-du-Prince-Édouard,"Fabrication de savons, de détachants et de produits de toilette",11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits chimiques,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en plastique et en caoutchouc,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en plastique,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en caoutchouc,11,
2015,Île-du-Prince-Édouard,Biens durables,11,2.64
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,11,0.16
2015,Île-du-Prince-Édouard,Scieries et préservation du bois,11,
2015,Île-du-Prince-Édouard,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits en bois,11,
2015,Île-du-Prince-Édouard,Fabrication de produits minéraux non métalliques,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en argile et produits réfractaires,11,
2015,Île-du-Prince-Édouard,Fabrication de verre et de produits en verre,11,
2015,Île-du-Prince-Édouard,Fabrication de ciment et de produits en béton,11,
2015,Île-du-Prince-Édouard,Fabrication de chaux et de produits en gypse,11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits minéraux non métalliques,11,
2015,Île-du-Prince-Édouard,Première transformation des métaux,11,
2015,Île-du-Prince-Édouard,Sidérurgie,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en acier à partir d'acier acheté,11,
2015,Île-du-Prince-Édouard,Production et transformation d'alumine et d'aluminium,11,
2015,Île-du-Prince-Édouard,Production et transformation de métaux non ferreux (sauf l'aluminium),11,
2015,Île-du-Prince-Édouard,Fonderies,11,
2015,Île-du-Prince-Édouard,Fabrication de produits métalliques,11,
2015,Île-du-Prince-Édouard,Forgeage et estampage,11,
2015,Île-du-Prince-Édouard,Fabrication de coutellerie et d'outils à main,11,
2015,Île-du-Prince-Édouard,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,11,
2015,Île-du-Prince-Édouard,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",11,
2015,Île-du-Prince-Édouard,Fabrication d'articles de quincaillerie,11,
2015,Île-du-Prince-Édouard,Fabrication de ressorts et de produits en fil métallique,11,
2015,Île-du-Prince-Édouard,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",11,
2015,Île-du-Prince-Édouard,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits métalliques,11,
2015,Île-du-Prince-Édouard,Fabrication de machines,11,
2015,Île-du-Prince-Édouard,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",11,
2015,Île-du-Prince-Édouard,Fabrication de machines industrielles,11,
2015,Île-du-Prince-Édouard,Fabrication de machines pour le commerce et les industries de services,11,
2015,Île-du-Prince-Édouard,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",11,
2015,Île-du-Prince-Édouard,Fabrication de machines-outils pour le travail du métal,11,
2015,Île-du-Prince-Édouard,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",11,
2015,Île-du-Prince-Édouard,Fabrication d'autres machines d'usage général,11,
2015,Île-du-Prince-Édouard,Fabrication de produits informatiques et électroniques,11,
2015,Île-du-Prince-Édouard,Fabrication de matériel informatique et périphérique,11,
2015,Île-du-Prince-Édouard,Fabrication de matériel de communication,11,
2015,Île-du-Prince-Édouard,Fabrication de matériel audio et vidéo,11,
2015,Île-du-Prince-Édouard,Fabrication de semi-conducteurs et d'autres composants électroniques,11,
2015,Île-du-Prince-Édouard,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",11,
2015,Île-du-Prince-Édouard,Fabrication et reproduction de supports magnétiques et optiques,11,
2015,Île-du-Prince-Édouard,"Fabrication de matériel, d'appareils et de composants électriques",11,
2015,Île-du-Prince-Édouard,Fabrication de matériel électrique d'éclairage,11,
2015,Île-du-Prince-Édouard,Fabrication d'appareils ménagers,11,
2015,Île-du-Prince-Édouard,Fabrication de matériel électrique,11,
2015,Île-du-Prince-Édouard,Fabrication d'autres types de matériel et de composants électriques,11,
2015,Île-du-Prince-Édouard,,11,0.95
2015,Île-du-Prince-Édouard,Fabrication de véhicules automobiles,11,
2015,Île-du-Prince-Édouard,Fabrication de carrosseries et de remorques de véhicules automobiles,11,
2015,Île-du-Prince-Édouard,Fabrication de pièces pour véhicules automobiles,11,
2015,Île-du-Prince-Édouard,Fabrication de produits aérospatiaux et de leurs pièces,11,
2015,Île-du-Prince-Édouard,Fabrication de matériel ferroviaire roulant,11,
2015,Île-du-Prince-Édouard,Construction de navires et d'embarcations,11,
2015,Île-du-Prince-Édouard,Fabrication d'autres types de matériel de transport,11,
2015,Île-du-Prince-Édouard,Fabrication de meubles et de produits connexes,11,
2015,Île-du-Prince-Édouard,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,11,
2015,Île-du-Prince-Édouard,Fabrication de meubles de bureau (y compris les articles d'ameublement),11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits connexes aux meubles,11,
2015,Île-du-Prince-Édouard,Activités diverses de fabrication,11,
2015,Île-du-Prince-Édouard,Fabrication de fournitures et de matériel médicaux,11,
2015,Île-du-Prince-Édouard,Autres activités diverses de fabrication,11,
2015,Nouvelle-Écosse,Total de l’industrie manufacturière,12,7.45
2015,Nouvelle-Écosse,Biens non durables,12,4.56
2015,Nouvelle-Écosse,Fabrication d’aliments,12,2.02
2015,Nouvelle-Écosse,Fabrication d'aliments pour animaux,12,
2015,Nouvelle-Écosse,Mouture de grains céréaliers et de graines oléagineuses,12,
