Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2016,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10225943.0
2016,Canada,Sources de déchets résidentielles à des fins d'élimination,,14714804.0
2016,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,395324.0
2016,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2016,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2016,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2016,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2016,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2016,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,375258.0
2016,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169786.0
2016,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,205472.0
2016,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,503123.0
2016,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,225893.0
2016,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,277230.0
2016,Québec,Toutes les sources de déchets à des fins d'élimination,24,5356134.0
2016,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3010083.0
2016,Québec,Sources de déchets résidentielles à des fins d'élimination,,2346051.0
2016,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9475472.0
2016,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3703850.0
2016,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5771622.0
2016,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,969289.0
2016,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,308517.0
2016,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,660772.0
2016,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,898404.0
2016,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,343497.0
2016,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,554908.0
2016,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4206668.0
2016,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1299856.0
